Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
1,Petroleum Engineering,Bachelors,"$97,500","$212,500",61%
2,Operations Research & Industrial Engineering,Bachelors,"$98,300","$191,800",21%
3,Interaction Design,Bachelors,"$74,700","$173,600",54%
4,Applied Economics and Management,Bachelors,"$76,500","$164,400",54%
5,Building Science,Bachelors,"$69,000","$163,100",47%
6,Actuarial Mathematics,Bachelors,"$70,700","$160,000",52%
6,Operations Research,Bachelors,"$92,200","$160,000",57%
8,Systems Engineering,Bachelors,"$87,000","$159,100",58%
9,Optical Science & Engineering,Bachelors,"$79,600","$158,300",73%
10,Information & Computer Science,Bachelors,"$76,000","$157,800",63%
11,Aeronautics & Astronautics,Bachelors,"$88,200","$156,900",56%
12,Aerospace Studies,Bachelors,"$62,600","$154,300",-
13,Pharmacy,Bachelors,"$69,400","$154,000",79%
14,Cognitive Science,Bachelors,"$78,000","$153,800",43%
15,Managerial Economics,Bachelors,"$74,700","$153,300",38%
16,Quantitative Economics,Bachelors,"$74,500","$152,700",43%
17,Econometrics,Bachelors,"$72,000","$152,100",35%
18,Foreign Affairs,Bachelors,"$62,900","$152,000",32%
19,Chemical Engineering,Bachelors,"$85,600","$151,800",55%
20,Public Accounting,Bachelors,"$69,700","$151,200",47%
21,Political Economy,Bachelors,"$73,100","$150,600",31%
22,Corporate Accounting & Finance,Bachelors,"$76,800","$149,600",50%
23,Actuarial Science,Bachelors,"$76,700","$149,000",42%
24,Computer Engineering (CE),Bachelors,"$89,100","$148,500",46%
25,Electrical Power Engineering,Bachelors,"$84,700","$148,300",72%
